smiles,L,Bmin,Bmax,bur_shell,bur_vol,max_distance,tot_V,disp,max_axis,A2,min_axis
C1CCC=[O+]CC1,4.24554513,1.700000007986355,4.935789673748629,0.0,43.27867003456083,5.113674357054428,69.57377962104022,3.4437829566827767,4.917354223267579,0.914652655061845,0.6397273464488862
C1C=[O+]c2ccccc12,4.00179374,1.7,6.238800250003531,0.0,38.20141009626698,6.712806011703232,59.439229285832134,6.2319573773019785,6.598011117686397,0.7589389960371405,0.27266360480683816
C1Cc2ccccc2[O+]=C1,4.90155414,1.7,5.700491884961471,0.0,38.39058307141932,7.139404648565816,95.6355321311539,6.728374263602405,6.748704079955537,0.7359297164142161,0.42278715338508527
C1Cc2ccccc2C=[O+]1,6.41013525,1.7,5.683201369197562,0.0,37.29694878339857,7.125827076056322,94.95473450364305,4.975476145179929,6.7613283780663425,0.7374285011009313,0.4165821129458006
CC/C=C(C)/C(=O)/C=C/C(C)C,6.9563378700000005,2.805564527140554,5.961200506287788,0.0,30.627602244718922,8.502987768157245,211.5343600990855,6.363937791241812,8.377286625422744,0.7386786857563604,0.48709674623326826
CC/C=C(C)/C(=O)/C=C/CCC,6.98240388,2.482654339432589,7.861730497341868,0.0,29.772289739635372,10.586174908052731,175.13232022236878,7.073977276112509,10.390623558966858,0.5293291595854678,0.2949277578507618
CC/C=C(C)/C(=O)/C=C/CC(C)C,6.19077639,2.972590396775402,7.896566640034984,0.0,29.854289844013266,11.627487419405963,183.99409362198065,5.508442707116598,11.48763696980074,0.4210028789235757,0.28828809507338643
CC/C=C(C)/C(=O)/C=C/C(CC)CC,6.1907488399999995,2.9790663672641697,7.817691010454686,0.0,29.855891207539496,11.595555223056916,201.8873184204405,5.91913037323298,11.005780915875544,0.4824781169747341,0.3138837473897002
CC/C=C(C)/C(=O)/C=C/C1CC1,5.22503082,2.640446484108156,6.975265884527434,0.0,28.791376964670402,11.226834545218006,201.63894048507817,6.923185550906942,11.114038889414124,0.4097180115781796,0.35848716744871134
CC/C=C(C)/C(=O)/C=C/C1CCC1,7.53195279,2.9383105233547697,6.122723120441828,0.0,30.651206281814115,9.11104808368312,223.9762114926951,6.27819962055448,9.00708426900746,0.7488876885886743,0.40929131150535736
CC/C=C(C)/C(=O)/C=C/C1CCCC1,6.98400398,2.6157473200000005,7.898881746729261,0.0,29.773166705308885,10.909314240222024,200.6481096866293,7.753392926689668,10.456769279751715,0.5495108274048094,0.3193495005190428
CC/C=C(C)/C(=O)/C=C/C1CCCCC1,5.22507092,2.8189070328067176,8.596807597942814,0.0,28.786760610448926,12.869329630515033,219.51672504743473,5.731294753515969,12.851484002683485,0.3781169372647753,0.2735153116201737
CCCCC/C=C(C)/C(=O)/C=C/C(C)C,9.59977671,2.8932638280529366,6.047213467200999,0.0,30.291738034562954,8.81547116373756,232.2415804505781,6.945376878852182,8.270787796165907,0.9978085547541068,0.411388474645116
C/C(=C\CCCCCl)C(=O)/C=C/C(C)C,6.01617899,2.881022543778319,9.260079803029413,0.0,40.496706124477996,13.282662426949782,243.45709865817832,8.170193506672456,13.184088254541733,0.35373205932054613,0.3003293077581034
C/C(=C\CCc1ccccc1)C(=O)/C=C/C(C)C,6.6856215599999995,2.8059389777976005,10.62556194607309,0.0,37.51931216323381,15.376474868183593,279.72164853764616,10.732017058539837,15.374475541690494,0.3079441150913467,0.24995005709993173
C/C=C(C)/C(=O)/C=C/C(C)C,6.94627213,2.8525372549633037,6.025849763682929,0.0,29.531243363974795,9.59176062779031,170.35284980415256,5.49118621958773,9.494123182698166,0.4965663909496005,0.4008736354402541
C/C=C(C)/C(=O)/C=C/C(C)(C)C,6.07080589,2.9119871426063693,6.859775139578527,0.0,29.564997611789817,9.479798133858123,170.62708806806157,5.155918697476335,9.308757040219781,0.5035525560038282,0.42007621139108625
CC/C=C(C)/C(=O)/C=C/c1ccccc1Br,5.4593301599999995,2.79332268,8.206116374389536,0.0,28.794201013611126,12.55332409079448,278.8836004918258,5.435604295989086,12.442252259201254,0.4439057028486391,0.32616341513583624
O=CCCC(=O)c1ccccc1,8.3450159,1.7,7.595857034590913,0.0,25.455099939215568,9.185712380494767,106.9912797407225,2.511764847659051,9.169227153223737,0.5078014003359311,0.2733104848314694
Cc1ccc(C(=O)CCC=O)cc1,7.62624573,1.7,9.874476414394522,0.0,31.089909396438102,10.496803433830884,126.1047634260977,2.5316934820646138,10.406095205068976,0.4610411059611869,0.24273279605031808
O=CCCC(=O)c1ccc(Br)cc1,4.84689399,1.7,8.845158950592442,0.0,29.119236786532642,9.089480993915926,125.91552858769417,8.333896926079785,9.069866678319542,0.5475456120821115,0.30821678094023297
N#Cc1ccc(C(=O)CCC=O)cc1,5.25167507,1.7,8.721382012318097,0.0,22.614081737661614,9.704851943481932,142.91480231100917,9.65283497438977,9.677304831920345,0.5419209772198132,0.2909899475625058
CC(=O)CCC=O,5.67017712,1.7,5.971939943172633,0.0,29.88022676286403,6.694128780497529,52.07873328237093,2.1082620590574193,6.690298882445706,0.4689746334951856,0.37082969162432944
O=CCCC(=O)C1CCCCC1,4.83221919,1.7,9.98971857551856,0.0,27.19195331631179,9.932364584831836,145.3621700506263,2.6612994047979672,9.842568943250672,0.41549524109543834,0.36691033689763136
CCCCCCCCC#CC(=O)CCC=O,8.53280894,1.7,15.305706103023029,0.0,28.39588518911768,15.777788581561955,266.9666003141573,14.413741959292647,15.669645982797272,0.2643028006932945,0.2625291978245333
O=CCCCC(=O)c1ccccc1,5.612819679999999,1.7,9.636865414804241,0.0,24.399050595675327,9.321073532240112,166.03430589654374,8.951538272871309,9.22183067655531,0.4678151847851498,0.4525557477410802
CC(=O)CCCC=O,4.1983352,1.7,7.014333121885986,0.0,30.13323140462495,6.700315142398154,82.59594348096846,2.375948661821337,6.515874056948891,0.5853704334054725,0.5100466406169538
CC(=O)CCC(=O)c1ccccc1,4.8372290300000005,2.0996284356616153,7.8733400653866665,0.0,30.723272410791992,9.57630982009053,174.66693307959724,3.9497637808717823,9.536451947404549,0.5043436624069829,0.3993223814772294
CC(=O)CCC(=O)COCc1ccccc1,7.48533541,2.018534009610624,12.385916991309823,0.0,29.868303330536712,13.698327995747004,182.51421649475245,12.421570339749582,13.677182996720537,0.3502683008072264,0.20366007050056534
CC(=O)CCC(C)=O,4.71574836,1.9863501100000005,7.0198699500020405,0.0,29.881748265283814,8.085805143442007,42.87933829803335,6.2315714039079095,8.06394506334788,0.3678287584886708,0.2223103652692347
COC(=O)/C=C/c1ccccc1,8.0955106,2.1820675062042563,6.966625852086385,0.0,27.824032685254036,9.985065381653445,72.53070404368333,3.0338348357640896,9.911188330720334,0.4378139314817299,0.17015908060685467
COC(=O)/C=C/c1ccc(C)cc1,8.29720314,2.1783091237556587,8.15494363089411,0.0,27.82241191440179,10.932717378177774,85.32403650800678,3.060310515461904,10.77445366733508,0.40107411696638895,0.1700830295901222
COC(=O)/C=C/c1cccc(C)c1,6.18492759,2.1709723806946015,9.147242903137673,0.0,27.265055753022637,11.15353133496436,100.93206226714432,3.5341176149594893,10.934832031111219,0.48034528286139616,0.16070865558041816
COC(=O)/C=C/c1ccccc1C,7.65000607,2.354886434860483,7.035829687132009,0.0,27.819600700174206,9.98064505696339,140.29291321537372,8.235009135258881,9.886692236574593,0.5677658946853885,0.2556897901821653
COC(=O)/C=C/c1ccc(F)cc1,6.19249406,2.136009071119183,8.768821847187938,0.0,27.26142872958105,10.668713705636526,81.35320776073168,3.199731761768305,10.607837456848785,0.42923310148674115,0.15878186770724495
COC(=O)/C=C/c1ccc(Cl)cc1,6.21006597,2.1359469182756508,9.390673763873997,0.0,27.26334074824462,11.042563256960129,84.29666326534156,3.5141339230841737,10.985937229550599,0.41406261150009566,0.15354406265145282
COC(=O)/C=C/c1ccc(Br)cc1,6.37681646,2.1360694691243083,9.61620405643357,0.0,27.264663596266786,11.20392028796162,85.49364018954365,3.558186915133444,11.148864240000286,0.40769269284575943,0.15132441381604692
COC(=O)/C=C/c1cccc2ccccc12,8.59457529,2.403314625987306,7.065207016087274,0.0,27.817959522423642,10.548932427306381,226.22353135152355,4.490978909151121,10.481059611289808,0.6860939972408584,0.28637729635904013
COC(=O)/C=C/c1ccc(OC)cc1,9.37770836,2.160547290073227,8.346957126149865,0.0,27.820539867612748,12.153281650660636,122.01932492702309,9.989343297570473,12.089699643069702,0.3637207104547502,0.1898515088694417
COC(=O)/C=C/c1ccc(C#N)cc1,6.42762165,2.1351266909803783,9.970244867169033,0.0,27.255353012684036,11.895861975308634,90.28515219959142,3.3319702575198695,11.832595144344328,0.38043320559927707,0.14325107904531145
